  0.27391E-02  0.16195E-01
  0.39426E-02  0.18505E-01
  0.53638E-02  0.20729E-01
  0.70020E-02  0.22880E-01
  0.88564E-02  0.24968E-01
  0.10926E-01  0.26998E-01
  0.13211E-01  0.28975E-01
  0.15708E-01  0.30903E-01
  0.18419E-01  0.32783E-01
  0.21340E-01  0.34620E-01
  0.24472E-01  0.36412E-01
  0.27812E-01  0.38163E-01
  0.31359E-01  0.39872E-01
  0.35112E-01  0.41540E-01
  0.39068E-01  0.43168E-01
  0.43227E-01  0.44756E-01
  0.47586E-01  0.46303E-01
  0.52144E-01  0.47810E-01
  0.56898E-01  0.49278E-01
  0.61847E-01  0.50704E-01
  0.66987E-01  0.52091E-01
  0.72318E-01  0.53436E-01
  0.77836E-01  0.54741E-01
  0.83539E-01  0.56004E-01
  0.89425E-01  0.57225E-01
  0.95492E-01  0.58405E-01
  0.10174E+00  0.59541E-01
  0.10815E+00  0.60635E-01
  0.11474E+00  0.61686E-01
  0.12150E+00  0.62693E-01
  0.12843E+00  0.63657E-01
  0.13552E+00  0.64576E-01
  0.14276E+00  0.65451E-01
  0.15017E+00  0.66280E-01
  0.15773E+00  0.67065E-01
  0.16543E+00  0.67804E-01
  0.17329E+00  0.68498E-01
  0.18129E+00  0.69146E-01
  0.18943E+00  0.69748E-01
  0.19770E+00  0.70304E-01
  0.20611E+00  0.70813E-01
  0.21464E+00  0.71277E-01
  0.22330E+00  0.71694E-01
  0.23209E+00  0.72064E-01
  0.24099E+00  0.72389E-01
  0.25000E+00  0.72667E-01
  0.25912E+00  0.72899E-01
  0.26835E+00  0.73085E-01
  0.27768E+00  0.73225E-01
  0.28711E+00  0.73319E-01
  0.29663E+00  0.73368E-01
  0.30624E+00  0.73372E-01
  0.31594E+00  0.73331E-01
  0.32571E+00  0.73245E-01
  0.33557E+00  0.73116E-01
  0.34549E+00  0.72942E-01
  0.35548E+00  0.72726E-01
  0.36554E+00  0.72466E-01
  0.37566E+00  0.72164E-01
  0.38582E+00  0.71821E-01
  0.39604E+00  0.71436E-01
  0.40631E+00  0.71010E-01
  0.41662E+00  0.70545E-01
  0.42696E+00  0.70040E-01
  0.43733E+00  0.69496E-01
  0.44774E+00  0.68915E-01
  0.45816E+00  0.68296E-01
  0.46860E+00  0.67641E-01
  0.47906E+00  0.66949E-01
  0.48953E+00  0.66224E-01
  0.50000E+00  0.65464E-01
  0.51047E+00  0.64671E-01
  0.52094E+00  0.63846E-01
  0.53140E+00  0.62989E-01
  0.54184E+00  0.62102E-01
  0.55226E+00  0.61186E-01
  0.56267E+00  0.60241E-01
  0.57304E+00  0.59270E-01
  0.58338E+00  0.58272E-01
  0.59369E+00  0.57249E-01
  0.60396E+00  0.56202E-01
  0.61418E+00  0.55133E-01
  0.62434E+00  0.54042E-01
  0.63446E+00  0.52931E-01
  0.64452E+00  0.51802E-01
  0.65451E+00  0.50654E-01
  0.66443E+00  0.49491E-01
  0.67429E+00  0.48312E-01
  0.68406E+00  0.47121E-01
  0.69376E+00  0.45917E-01
  0.70337E+00  0.44703E-01
  0.71289E+00  0.43481E-01
  0.72232E+00  0.42251E-01
  0.73165E+00  0.41015E-01
  0.74088E+00  0.39776E-01
  0.75000E+00  0.38534E-01
  0.75901E+00  0.37291E-01
  0.76791E+00  0.36049E-01
  0.77670E+00  0.34810E-01
  0.78536E+00  0.33574E-01
  0.79389E+00  0.32345E-01
  0.80230E+00  0.31123E-01
  0.81057E+00  0.29910E-01
  0.81871E+00  0.28708E-01
  0.82671E+00  0.27518E-01
  0.83457E+00  0.26342E-01
  0.84227E+00  0.25181E-01
  0.84983E+00  0.24036E-01
  0.85724E+00  0.22909E-01
  0.86448E+00  0.21801E-01
  0.87157E+00  0.20714E-01
  0.87850E+00  0.19647E-01
  0.88526E+00  0.18603E-01
  0.89185E+00  0.17582E-01
  0.89827E+00  0.16585E-01
  0.90451E+00  0.15612E-01
  0.91057E+00  0.14664E-01
  0.91646E+00  0.13742E-01
  0.92216E+00  0.12846E-01
  0.92768E+00  0.11977E-01
  0.93301E+00  0.11134E-01
  0.93815E+00  0.10319E-01
  0.94310E+00  0.95307E-02
  0.94786E+00  0.87703E-02
  0.95241E+00  0.80378E-02
  0.95677E+00  0.73336E-02
  0.96093E+00  0.66580E-02
  0.96489E+00  0.60113E-02
  0.96864E+00  0.53939E-02
  0.97219E+00  0.48062E-02
  0.97553E+00  0.42489E-02
  0.97866E+00  0.37225E-02
  0.98158E+00  0.32276E-02
  0.98429E+00  0.27649E-02
  0.98679E+00  0.23353E-02
  0.98907E+00  0.19394E-02
  0.99114E+00  0.15781E-02
  0.99300E+00  0.12521E-02
  0.99464E+00  0.96228E-03
  0.99606E+00  0.70937E-03
  0.99726E+00  0.49405E-03
  0.99825E+00  0.31695E-03
  0.99901E+00  0.17863E-03
  0.99956E+00  0.79496E-04
  0.99989E+00  0.19892E-04
  0.10000E+01  0.22352E-08
