  0.99951E+00  0.34884E+00
  0.99753E+00  0.30079E+00
  0.99360E+00  0.26952E+00
  0.98772E+00  0.22497E+00
  0.97991E+00  0.17724E+00
  0.97021E+00  0.14756E+00
  0.95865E+00  0.13285E+00
  0.94528E+00  0.11834E+00
  0.93016E+00  0.95291E-01
  0.91334E+00  0.67904E-01
  0.89488E+00  0.43637E-01
  0.87487E+00  0.25569E-01
  0.85338E+00  0.11391E-01
  0.83049E+00 -0.23515E-02
  0.80630E+00 -0.16986E-01
  0.78090E+00 -0.32071E-01
  0.75440E+00 -0.46734E-01
  0.72688E+00 -0.60518E-01
  0.69848E+00 -0.73016E-01
  0.66928E+00 -0.84935E-01
  0.63943E+00 -0.97093E-01
  0.60902E+00 -0.10945E+00
  0.57818E+00 -0.12285E+00
  0.54703E+00 -0.13775E+00
  0.51570E+00 -0.15343E+00
  0.48430E+00 -0.16997E+00
  0.45297E+00 -0.18650E+00
  0.42182E+00 -0.20167E+00
  0.39098E+00 -0.21482E+00
  0.36057E+00 -0.22521E+00
  0.33071E+00 -0.23232E+00
  0.30152E+00 -0.23529E+00
  0.27312E+00 -0.23412E+00
  0.24560E+00 -0.22931E+00
  0.21910E+00 -0.22154E+00
  0.19370E+00 -0.21207E+00
  0.16951E+00 -0.20216E+00
  0.14662E+00 -0.19290E+00
  0.12513E+00 -0.18577E+00
  0.10512E+00 -0.18263E+00
  0.86663E-01 -0.18403E+00
  0.69842E-01 -0.19223E+00
  0.54717E-01 -0.20776E+00
  0.41349E-01 -0.23105E+00
  0.29792E-01 -0.26200E+00
  0.20090E-01 -0.29379E+00
  0.12282E-01 -0.31235E+00
  0.63995E-02 -0.26425E+00
  0.24650E-02 -0.29075E-02
  0.49350E-03  0.57846E+00
  0.49350E-03  0.98618E+00
  0.24650E-02  0.92740E+00
  0.63995E-02  0.68960E+00
  0.12282E-01  0.39929E+00
  0.20090E-01  0.11559E+00
  0.29792E-01 -0.13400E+00
  0.41349E-01 -0.33335E+00
  0.54717E-01 -0.48046E+00
  0.69842E-01 -0.57914E+00
  0.86664E-01 -0.63543E+00
  0.10512E+00 -0.65930E+00
  0.12513E+00 -0.65753E+00
  0.14662E+00 -0.63897E+00
  0.16951E+00 -0.60932E+00
  0.19370E+00 -0.57358E+00
  0.21910E+00 -0.53583E+00
  0.24560E+00 -0.49857E+00
  0.27312E+00 -0.46307E+00
  0.30152E+00 -0.43033E+00
  0.33072E+00 -0.40026E+00
  0.36057E+00 -0.37286E+00
  0.39098E+00 -0.34800E+00
  0.42182E+00 -0.32480E+00
  0.45297E+00 -0.30242E+00
  0.48430E+00 -0.27989E+00
  0.51570E+00 -0.25763E+00
  0.54703E+00 -0.23526E+00
  0.57818E+00 -0.21261E+00
  0.60902E+00 -0.19062E+00
  0.63943E+00 -0.16902E+00
  0.66929E+00 -0.14777E+00
  0.69848E+00 -0.12737E+00
  0.72688E+00 -0.10680E+00
  0.75440E+00 -0.85520E-01
  0.78090E+00 -0.63798E-01
  0.80630E+00 -0.42637E-01
  0.83049E+00 -0.23764E-01
  0.85338E+00 -0.75566E-02
  0.87487E+00  0.97421E-02
  0.89488E+00  0.34749E-01
  0.91334E+00  0.68211E-01
  0.93016E+00  0.99597E-01
  0.94528E+00  0.11647E+00
  0.95865E+00  0.12426E+00
  0.97021E+00  0.16116E+00
  0.97991E+00  0.24400E+00
  0.98772E+00  0.30595E+00
  0.99360E+00  0.31317E+00
  0.99753E+00  0.31529E+00
  0.99951E+00  0.34884E+00
